iris_id,hyderabad_dtf
IRIS_313_8647,85
IRIS_313_8660,81
IRIS_313_8665,81
IRIS_313_8697,81
IRIS_313_8703,81
IRIS_313_8713,110
IRIS_313_8727,86
IRIS_313_8731,81
IRIS_313_8743,84
IRIS_313_8757,84
IRIS_313_8771,88
IRIS_313_8796,81
IRIS_313_8814,75
IRIS_313_8815,77
IRIS_313_8856,81
IRIS_313_8857,75
IRIS_313_8859,77
IRIS_313_8864,80
IRIS_313_8865,127
IRIS_313_8880,87
IRIS_313_8889,80
IRIS_313_8890,83
IRIS_313_8895,78
IRIS_313_8914,81
IRIS_313_8921,75
IRIS_313_8923,82
IRIS_313_8924,85
IRIS_313_8925,87
IRIS_313_8927,80
IRIS_313_8946,77
IRIS_313_8960,127
IRIS_313_8963,81
IRIS_313_8967,86
IRIS_313_8988,81
IRIS_313_9002,81
IRIS_313_9039,130
IRIS_313_9048,77
IRIS_313_9081,69
IRIS_313_9120,89
IRIS_313_9140,81
IRIS_313_9182,80
IRIS_313_9184,76
IRIS_313_9193,78
IRIS_313_9204,84
IRIS_313_9233,73
IRIS_313_9243,82
IRIS_313_9253,75
IRIS_313_9271,89
IRIS_313_9285,77
IRIS_313_9317,84
IRIS_313_9351,75
IRIS_313_9366,77
IRIS_313_9368,85
IRIS_313_9384,86
IRIS_313_9403,79
IRIS_313_9404,76
IRIS_313_9422,82
